nct_id,phase,number_of_arms,brief_title,official_title,enrollment
NCT00165737,Phase 3,NA,Donepezil Hydrochloride (E2020) in Dementia Associated With Cerebrovascular Disease,"A 24-Week, Multi-Center, Randomized, Double-Blind, Placebo-Controlled Evaluation of the Efficacy, Safety and Tolerability of Donepezil Hydrochloride (E2020) in Patients With Dementia Associated With Cerebrovascular Disease",974
NCT00174785,Phase 3,2,A Trial With Dronedarone to Prevent Hospitalization or Death in Patients With Atrial Fibrillation,"A Placebo-controlled,Double-blind,Parallel Arm Trial to Assess the Efficacy of Dronedarone 400mg Bid for the Prevention of Cardiovascular Hospitalization or Death From Any Cause in Patients With Atrial Fibrillation/Atrial Flutter (AF/AFL)",4628
NCT00182143,Phase 3,2,PROphylaxis for ThromboEmbolism in Critical Care Trial (PROTECT),PROphylaxis for ThromboEmbolism in Critical Care Trial (PROTECT),3659
NCT00200434,Phase 3,NA,A Study of the Efficacy and Safety of Nebivolol Added to Existing Antihypertensive Treatment in Patients With Hypertension,"A Double-Blind, Multi-Center, Randomized, Placebo-Controlled, Parallel Group Study of the Efficacy and Safety of Nebivolol Added to Existing Antihypertensive Treatment in Patients With Mild to Moderate Hypertension",600
NCT00206154,Phase 3,NA,"A Comparison of Symbicort® pMDI 2 x 160/4.5 μg Bid and Symbicort® pMDI 2 x 80/4.5 μg Bid With Formoterol Turbuhaler®, Budesonide pMDI, the Combination of Formoterol Turbuhaler® and Budesonide pMDI, and Placebo in COPD Patients","A 6-Month Double-Blind, Double-Dummy, Randomized, Parallel Group, Multicenter Efficacy & Safety Study of SYMBICORT® pMDI 2 x 160/4.5 µg & 80/4.5 µg Bid Compared to Formoterol TBH, Budesonide pMDI (& the Combination) & Placebo in COPD Patients",1500
NCT00219076,Phase 3,NA,A Clinical Study to Evaluate the Safety and Efficacy of the Combination of Aliskiren and Amlodipine in Hypertensive Non Responders Patients,"A Six-week, Randomized, Double-blind, Parallel-group, Multicenter Study to Evaluate the Safety and Efficacy of the Combination of Aliskiren 150 mg and Amlodipine 5 mg Compared to Amlodipine 5 mg and 10 mg in Hypertensive Patients Not Adequately Responsive to Amlodipine 5 mg",504
NCT00224146,Phase 4,NA,Transdermal (TDS) Oxybutynin (Oxytrol(r)) in Overactive Bladder,Multicenter Assessment of Transdermal Therapy in Overactive Bladder With Oxybutynin TDS (MATRIX),2878
NCT00225264,Phase 3,2,Efficacy Study of Pioglitazone and Glimepiride on the Rate of Progression of Atherosclerotic Disease.,"A Double-Blind, Randomized, Comparator-Controlled Study in Subjects With Type 2 Diabetes Mellitus Comparing the Effects of Pioglitazone HCl Versus Glimepiride on the Rate of Progression of Atherosclerotic Disease as Measured by Carotid Intima-Media Thickness",458
NCT00236717,Phase 3,NA,A Study of the Effectiveness and Safety of Topiramate Compared With a Standard Therapy in Patients Newly Diagnosed With Epilepsy,TOPAMAX (Topiramate) Monotherapy Comparison Trial to Standard Monotherapy in the Treatment of Newly Diagnosed Epilepsy (RWJ-17021-000); Phase IIIB,865
NCT00251927,Phase 3,2,Esomeprazole (NEXIUM) vs. Surgery,"An Open, Randomized, Multicenter, Phase IIIB Study During 5 Years to Assess Long-term Efficacy and Tolerability of Esomeprazole Compared to Laparoscopic Anti-reflux Surgery in Adult Subjects With Gastroesophageal Reflux Disease - LOTUS.",626
NCT00251966,Phase 3,NA,ASTERIX: Low Dose ASA and Nexium,A Randomized Double-Blind Placebo-Controlled Study to Assess the Prevention of Low-Dose Acetylsalicylic Acid (ASA) Associated Gastroduodenal Lesions and Upper Gastrointestinal Symptoms in Patients Taking Esomeprazole 20 mg Once Daily for 26 Weeks.,960
NCT00259428,Phase 3,2,EURopean Trial In Atrial Fibrillation(AF) or Flutter (AFL) Patients Receiving Dronedarone for the maIntenance of Sinus Rhythm (EURIDIS),EURopean Trial In Atrial Fibrillation or Flutter Patients Receiving Dronedarone for the maIntenance of Sinus Rhythm (EURIDIS),615
NCT00264849,Phase 4,2,Omalizumab in Adult and Adolescent Patients With Severe Persistent Allergic Asthma,"A Randomized, Open Label, Parallel-group, International, Multicenter Study Evaluating Persistency of Response to Omalizumab During 32 Weeks Treatment Given as Add on to Optimized Asthma Therapy in Adult and Adolescent Patients With Severe Persistent Allergic Asthma, Who Remain Inadequately Controlled Despite GINA (2004) Step 4 Therapy",406
NCT00274053,Phase 3,NA,Effects of a 9-months Treatment of SPIRIVA on Health Related Quality of Life in Patients With COPD,Effect of a 9-month Treatment of SPIRIVA® on Health Related Quality of Life in Patients With Chronic Obstructive Pulmonary Disease. Validation of a New HRQoL Questionnaire Appropriate to Common Daily Practice. (TIPHON Study),555
NCT00279201,Phase 4,6,The DURABLE Trial: Evaluating the Durability of Starter Insulin Regimens in Patients With Type 2 Diabetes (IOOV),The Durability of Twice-Daily Insulin Lispro Low Mixture Compared to Once-Daily Insulin Glargine When Added to Existing Oral Therapy in Patients With Type 2 Diabetes and Inadequate Glycemic Control,2091
NCT00294723,Phase 3,4,To Evaluate the Effect of Liraglutide Versus Glimepiride (Amaryl®) on Haemoglobin A1c,Liraglutide Effect and Action in Diabetes (LEAD-3): Effect on Glycemic Control of Liraglutide Versus Glimepiride in Type 2 Diabetes,746
NCT00297115,Phase 3,2,Effect of Roflumilast on Exacerbation Rate in Patients With Chronic Obstructive Pulmonary Disease (COPD): The HERMES Study (BY217/M2-125),Effect of Roflumilast on Exacerbation Rate in Patients With COPD. The HERMES Study,1568
NCT00306644,Phase 4,1,Effect Of Rosiglitazone On Carotid Intima Media Thickness In Patients With Insulin Resistance Syndrome And/Or Type 2 Diabetes,Effect of Rosiglitazone and Placebo on Carotid Intima Media Thickness in Patients With Insulin Resistance Syndrome and/or Type 2 Diabetes,556
NCT00311753,Phase 3,2,Efficacy and Safety of Low-molecular Weight Heparin for Thromboprophylaxis in Acutely Ill Medical Patients,An Open-label Comparison of the Efficacy and Safety of the Low-molecular-weight Heparin (3000 U Anti-Xa Once Daily) With Unfractionated Heparin for the Prevention of Thromboembolic Complications in Acutely Ill Non-surgical Patients,342
NCT00311818,Phase 4,NA,Insulin Glargine in Type 2 Diabetes Mellitus,"44-week, Parallel, Open, Randomized, Multinational, Multi-center Clinical Trial to Compare Efficacy and Safety of the Combination Therapy of an Oral Anti-diabetic Drug Treatment With Either HOE901 Insulin Once Daily or Lispro Insulin Analogue at Mealtime in Type 2 Diabetes Mellitus Patients Poorly Controlled With Oral Anti-diabetic Drug Treatment.",NA
NCT00324363,Phase 3,2,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Metformin or Sulfonylureas and Metformin,Safety and Efficacy of Exenatide in Patients With Type 2 Diabetes Using Metformin or Sulfonylureas and Metformin,466
NCT00326053,Phase 3,NA,Prevention of Asthma Relapse After Discharge From Emergency,A Comparison of Budesonide/Formoterol Turbuhaler® 160/4.5 µg 2 Inhalations BID Plus as Needed to Budesonide Turbuhaler® 320 µg 2 Inhalations BID Plus Terbutaline Turbuhaler® 0.4 mg as Needed for the Prevention of Asthma Relapse,600
NCT00331851,Phase 3,NA,Effect of Liraglutide on Blood Glucose Control in Subjects With Type 2 Diabetes,"Liraglutide Effect and Action in Diabetes (LEAD-5): Effect on Glycaemic Control After Once Daily Administration of Liraglutide in Combination With Glimepiride and Metformin Versus Glimepiride and Metformin Combination Therapy, and Versus Insulin Glargine Added to Glimepiride and Metformin Combination Therapy in Subjects With Type 2 Diabetes.A Six-month Randomised, Double-blind, Parallel-group, Multi-centre, Multi-national Trial With an Open-label Treat-to-target Insulin Glargine Control Arm.",584
NCT00336336,Phase 3,4,GISSI-HF- Effects of n-3 PUFA and Rosuvastatin on Mortality-Morbidity of Patients With Symptomatic CHF,A Large Scale Clinical Trial Testing the Effects of n-3 PUFA and Rosuvastatin on Mortality-Morbidity of Patients With Symptomatic Congestive Heart Failure,6975
NCT00338260,Phase 3,NA,Losartan Intervention For Endpoint Reduction in Hypertension (LIFE) Study (0954-133),"A Triple-Blind, Parallel Study to Investigate the Effect of Losartan Versus Atenolol on the Reduction of Morbidity and Mortality in Hypertensive Patients With Left Ventricular Hypertrophy",496
NCT00397631,Phase 3,2,Initial Combination With Pioglitazone Study (0431-064),"A Multicenter, Randomized, Double-Blind Study to Evaluate the Safety and Efficacy of the Initial Therapy With Coadministration of Sitagliptin and Pioglitazone in Patients With Type 2 Diabetes Mellitus",520
NCT00398931,Phase 3,NA,FLEX - Long-term Extension of FIT (Fracture Intervention Trial)(0217-051),"A 5-year, Double-blind, Randomized, Placebo-controlled Extension Study to Examine the Long-term Safety and Efficacy of Oral Alendronate in Postmenopausal Women Who Previously Received Alendronate in Conjunction With the Fracture Intervention Trial",1099
NCT00425997,Phase 4,NA,Efficacy of Valsartan/Hydrochlorothiazide Versus Amlodipine and Hydrochlorothiazide in Patients Hypertension,"A 10-week Multicenter,Forced-titration Study Using 24-hr ABPM to Evaluate the Efficacy of Valsartan/Hydrochlorothiazide (HCTZ) Treatment Regimen vs Conventional Treatment Regimen With Amlodipine and Hydrochlorothiazide (HCTZ) in Patients With Stage 2 Hypertension",480
NCT00434967,Phase 3,4,Antihypertensive Efficacy and Safety of Candesartan/HCT 32/25 mg in Comparison With Individual Components and Placebo,"A Double-blind, Randomised, 4-arm Parallel Group, Multicentre, 8-week, Phase III Study to Assess the Antihypertensive Efficacy and Safety of the Combination of Candesartan Cilexetil (CC) 32 mg and Hydrochlorothiazide (HCT) 25 mg Compared With CC 32 mg, HCT 25 mg and Placebo in Hypertensive Adults",2207
NCT00462748,Phase 3,3,A Study to Determine the Number of Patients Who Reach Optimal Cholesterol Levels on Each of Three Different Treatments (0653A-121),"A MC, DB, Rand, Study to Evaluate Efficacy, Safety and Tolerability of Eze/Simva 10/40 mg, Atorva 40 mg, Rosuva 10 mg in Achieving LDL-C <2 mmol/l in Pts With CVD...on Simva 40 mg With LDL-C ³2 mmol/l",786
NCT00468546,Phase 3,2,A Study to Evaluate the Safety and Efficacy of MabThera (Rituximab) in Combination With Methotrexate (MTX) in Participants With Active Rheumatoid Arthritis Who Failed on Anti-Tumor Necrosis Factor Alpha Therapy,"A Randomized, Placebo-controlled, Double-blind, Multicenter Study to Evaluate the Safety and Efficacy of Rituximab in Combination With Methotrexate in Patients With Active Rheumatoid Arthritis Who Have Had an Inadequate Response to Anti-TNF Alpha Therapies",520
NCT00488267,Phase 3,3,Efficacy of ThermoProfen in Patients With Mild to Moderate Pain Associated With Osteoarthritis of the Knee,"A Randomized, Double-Blind, 12-Week Study to Evaluate the Efficacy of ThermoProfen™ in the Treatment of Patients With Mild to Moderate Pain Associated With Osteoarthritis of the Knee (ZMK-301)",679
NCT00500604,Phase 4,2,Efficacy of Irbesartan/Hydrochlorothiazide Versus Valsartan/Hydrochlorothiazide in Mild to Moderate Hypertension,A Comparative Study of the Efficacy of Irbesartan/Hydrochlorothiazide 300/25 mg Versus Valsartan/Hydrochlorothiazide 160/25 mg Using Home Blood Pressure Monitoring in the Treatment of Mild to Moderate Hypertension,1617
NCT00523991,Phase 4,2,Trial Comparing Tiotropium Inhalation Capsules vs Placebo in Chronic Obstructive Pulmonary Disease (COPD).,"A 24 Week, Randomized, Double-blind, Placebo Controlled, Multicenter Study to Evaluate the Efficacy and Safety of 18 MCG of Tiotropium Inhalation Capsules Administered by HandiHaler Once-daily Plus PRN Albuterol (Salbutamol) vs. Placebo Plus PRN Albuterol (Salbutamol) in Chronic Obstructive Pulmonary Disease Subjects Naive to Maintenance Therapy",457
NCT00542724,NA,NA,NA,NA,NA
NCT00547300,Phase 3,NA,Study to Evaluate Symptoms in Patients Treated With Nebivolol or Metoprolol Extended-Release (ER) for Hypertension,Tolerability of Nebivolol Compared With Metoprolol ER in Patients With Mild to Moderate Hypertension Taking Hydrochlorothiazide,400
NCT00549757,Phase 3,2,Aliskiren Trial in Type 2 Diabetes Using Cardiovascular and Renal Disease Endpoints (Core and Extension Phases),"A Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Determine Whether, in Patients With Type 2 Diabetes at High Risk for Cardiovascular and Renal Events, Aliskiren, on Top of Conventional Treatment, Reduces Cardiovascular and Renal Morbidity and Mortality",8606
NCT00550953,Phase 3,NA,Filtered Trial for Telmisartan 40mg Non-responder,Filtered Trial for Telmisartan 40mg Non-responder,314
NCT00614120,Phase 3,4,Effect of Liraglutide or Glimepiride Added to Metformin on Blood Glucose Control in Subjects With Type 2 Diabetes,Effect of Liraglutide or Glimepiride Added to Metformin on Glycaemic Control in Subjects With Type 2 Diabetes,929
NCT00625547,Phase 3,2,A Study to Determine the Efficacy and Safety of Cabergoline for the Treatment of Patients With RLS,"A Double-Blind, Randomized, Active-Controlled Multicenter Efficacy Trial for the Treatment of Patients With Restless Legs Syndrome (RLS)",361
NCT00652106,NA,NA,NA,NA,NA
NCT00666718,Phase 3,2,A Comparison Study of Basal Bolus Therapies Together With Lispro Insulin in Type 2 Diabetes Patients,A Prospective Randomized Trial to Compare Basal Bolus Therapies That Use Either Insulin Lispro Protamine Suspension or Insulin Glargine Together With Lispro Insulin in Patients With Type 2 Diabetes,374
NCT00694382,Phase 3,2,Evaluation of AVE5026 in the Prevention of Venous Thromboembolism in Cancer Patients Undergoing Chemotherapy,"A Multinational, Randomized, Double Blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of AVE5026 in the Prevention of Venous Thromboembolism (VTE) in Cancer Patients at High Risk for VTE and Who Are Undergoing Chemotherapy",3212
NCT00714597,Phase 3,2,Evaluation of AVE5026 in the Prevention of Venous Thromboembolism in Acutely Ill Medical Patients With Restricted Mobility,"A Multinational, Multicenter, Randomized, Double-Blind Study Comparing the Efficacy and Safety of AVE5026 With Enoxaparin for the Primary Prevention of Venous Thromboembolism in Acutely Ill Medical Patients With Restricted Mobility",421
NCT00716547,Phase 3,4,Safety and Efficacy of Two Dosages of Diractin® in Osteoarthritis (OA),"Multicenter, Randomized, Double-blind, Placebo- and Active-controlled Study of Safety and Efficacy of Two Dosages of Epicutaneously Applied Diractin® (Ketoprofen in Transfersome® Gel) for the Treatment of Osteoarthritis of the Knee",1399
NCT00717236,Phase 3,2,Certolizumab Pegol for the Treatment of Patients With Active Rheumatoid Arthritis,"A Phase IIIb Multicenter Study With a 12-week Double-blind, Placebo-controlled, Randomized Period Followed by an Open-label, Extension Phase Evaluating Safety/Efficacy of Certolizumab Pegol Given to Patients With Active Rheumatoid Arthritis.",1648
NCT00771394,Phase 4,3,Solifenacin as Add-on Therapy for Overactive Bladder Symptoms in Men Treated for Benign Prostatic Hyperplasia,"A Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Multicenter Study of Solifenacin Succinate as Add-on Therapy for Overactive Bladder (OAB) Symptoms in Men Treated for Benign Prostatic Hyperplasia (BPH) With Tamsulosin Hydrochloride",638
NCT00806026,Phase 3,6,Long Term Study Of Pregabalin In Idiopathic Restless Legs Syndrome Patients,"Randomized, Double Blind, 12-Month Study Of Pregabalin In Subjects With Restless Legs Syndrome",731
NCT00856622,NA,NA,NA,NA,NA
NCT00863304,Phase 3,4,Tanezumab in Osteoarthritis of the Hip or Knee (2),"A Phase 3 Randomized, Double Blind Placebo And Naproxen Controlled Multicenter Study of the Analgesic Efficacy And Study of Tanezumab in Patients With Osteoarthritis Of The Hip or Knee",849
NCT00911534,Phase 3,2,"Comparing the Efficacy, Safety, and Tolerability of Rabeprazole ER 50 mg With Placebo in Subjects With Symptomatic Gastroesophageal Reflux Disease (sGERD)","A Multicenter Randomized Double-Blind Study to Compare the Efficacy, Safety, and Tolerability of Rabeprazole ER 50 mg With Placebo in Subjects With Symptomatic Gastroesophageal Reflux Disease (sGERD)",305
NCT00923091,Phase 3,8,"Parallel-Group Comparison of Olmesartan (OLM), Amlodipine (AML) and Hydrochlorothiazid (HCTZ) in Hypertension","Randomised, Double-Blind, Parallel-Group Study Evaluating Efficacy and Safety of Co-Administration of Triple Combinations of Olmesartan Medoxomil, Amlodipine Besylate, and Hydrochlorothiazide Compared With Corresponding Olmesartan - Amlodipine Combination in Subjects With Hypertension",2689
NCT00957047,Phase 3,5,Efficacy and Safety Study of BIA 2-093 in Combination With Other Anti-Epileptic Drugs to Treat Partial Epilepsy,"Efficacy and Safety of BIA 2-093 as Adjunctive Therapy for Refractory Partial Seizures in a Double-blind, Randomised, Placebo-controlled, Parallel-group, Multicentre Clinical Trial",395
NCT00968708,Phase 3,2,Cardiovascular Outcomes Study of Alogliptin in Patients With Type 2 Diabetes and Acute Coronary Syndrome,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate Cardiovascular Outcomes Following Treatment With Alogliptin in Addition to Standard of Care in Subjects With Type 2 Diabetes and Acute Coronary Syndrome",5380
NCT01034137,Phase 3,3,A Study of Tocilizumab and Methotrexate in Combination or as Monotherapy in Treatment-Naïve Patients With Early Rheumatoid Arthritis,"U-ACT-EARLY: A Multi-center, Randomized, Double Blind, Placebo Controlled Study to Evaluate Remission in DMARD and Biological naïve Early Rheumatoid Arthritis (RA) Subjects Treated With Tocilizumab (TCZ) Plus Tight Control Methotrexate (MTX) , TCZ Monotherapy or Tight Control MTX Monotherapy",317
NCT01045447,Phase 3,2,"Comparison of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs, in Subjects With Type 2 Diabetes","A Trial Comparing Efficacy and Safety of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs in Subjects With Type 2 Diabetes (BOOST™ : INTENSIFY BASAL)",465
NCT01053988,Phase 3,5,A 6-month Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder in Subjects With Chronic Obstructive Pulmonary Disease (COPD),A 24-Week Study to Evaluate the Efficacy and Safety of Fluticasone Furoate (FF)/GW642444 Inhalation Powder and the Individual Components Delivered Once Daily (AM) Via a Novel Dry Powder Inhaler Compared With Placebo in Subjects With Chronic Obstructive Pulmonary Disease (COPD),1031
NCT01059773,Phase 4,2,A Safety and Efficacy Study of Ustekinumab in Patients With Plaque Psoriasis Who Have Had an Inadequate Response to Methotrexate,An Exploratory Trial to Assess Naturalistic Safety and Efficacy Outcomes in Patients With Moderate to Severe Plaque Psoriasis Transitiioned to Ustekinumab From Previous Methotrexate Therapy (TRANSIT),490
NCT01070784,Phase 3,2,A Safety and Efficacy Study of Symbicort Turbuhaler Compared With Standard Chronic Obstructive Pulmonary Disease (COPD) Treatment in Japan,"An Open-label Phase III, Multi-centre 52-week , Parallel-group Study Evaluating the Safety and Efficacy of Symbicort Turbuhaler 320/9 Twice Daily Compared With Standard Treatment in Japanese Patients With Chronic Obstructive Pulmonary Disease (COPD)",328
NCT01094457,Phase 4,2,Effects of Intensive Antiplatelet Therapy for Patients With Clopidogrel Resistance After Coronary Stent Implantation,NA,840
NCT01134042,Phase 3,3,Study HZA106829: Efficacy/Safety Study of Fluticasone Furoate/Vilanterol (GW642444) in Adult and Adolescent Asthmatics,"HZA106829: A Randomised, Double-blind, Parallel Group, Multicentre Study of Fluticasone Furoate/GW642444 Inhalation Powder, Fluticasone Furoate Inhalation Powder Alone, and Fluticasone Propionate Alone in the Treatment of Persistent Asthma in Adults and Adolescents",587
NCT01147848,Phase 3,2,HZA113091 Efficacy and Safety of Fluticasone Furoate/Vilanterol (GW642444) in Adults and Adolescents,"A Randomised, Double-blind, Double-dummy, Parallel-group Multicentre Study to Assess Efficacy and Safety of Fluticasone Furoate/GW642444 Inhalation Powder and Fluticasone Propionate/Salmeterol Inhalation Powder in the Treatment of Persistent Asthma in Adults and Adolescents",810
NCT01206972,Phase 3,4,Dose-confirmatory Bridging Study in Total Knee Replacement,"Randomized, Double-blind, Parallel-group, Active-controlled, Dose-confirmatory Bridging Study of Rivaroxaban (BAY59-7939) 5 to 10 mg Once-daily Regimen With a Reference Drug of Enoxaparin in the Prevention of Venous Thromboembolism in Patients Undergoing Elective Total Knee Replacement",302
NCT01218100,Phase 4,4,Efficacy and Safety Study to Evaluate Combination Therapy With Nebivolol and Lisinopril vs. Placebo and Monotherapy in Patients With Stage 2 Diastolic Hypertension,"A Randomized, Double-blind, Parallel-Group Study to Evaluate the Effects of First-Line Treatment With a Free Combination of Nebivolol and Lisinopril Compared With Placebo and the Monotherapy Components on Blood Pressure in Patients With Stage 2 Diastolic Hypertension",664
NCT01257451,Phase 3,2,Safety and Efficacy of Galvus in Elderly Type 2 Diabetes Patients,"A Multi-center, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of 24 Weeks Treatment With Vildagliptin in Type 2 Diabetes Mellitus Patients ≥ 70 Years (Drug-naive or Inadequately Controlled on Oral Agents)",431
NCT01346865,Phase 4,2,Drug-Eluting Stenting Followed by Cilostazol tREAtment Reduces SErious Adverse Cardiac Events (DECREASE-PCI),"A Randomized, Placebo Controlled, Double-blind, Phase 4 Study to Evaluate Efficacy and Safety of Triple Anti-platelet Therapy Compared With Dual Antiplatelet Therapy in Patients Treated With Drug Eluting Stent for Coronary Artery Disease",402
NCT01350804,Phase 3,4,"Efficacy at 24 Weeks and Safety, Tolerability and Long Term Efficacy of Secukinumab (AIN457) in Patients With Active Rheumatoid Arthritis (RA) and an Inadequate Response to Anti-Tumor Necrosis Factor α (Anti-TNFα) Agents (CAIN457F2309 and CAIN457F2309E1)","A Randomized, Double-blind, Placebo- and Active-controlled Study of Secukinumab to Demonstrate the Efficacy at 24 Weeks and to Assess the Safety, Tolerability and Long Term Efficacy up to 1 Year in Patients With Active Rheumatoid Arthritis Who Have an Inadequate Response to Anti-TNFα Agents (CAIN457F2309) and A Four Year Extension Study to Evaluate the Long Term Efficacy, Safety and Tolerability of Secukinumab in Patients With Active Rheumatoid Arthritis (CAIN457F2309E1)",551
NCT01358175,Phase 3,3,16 Week Efficacy and 2 Year Long Term Safety and Efficacy of Secukinumab in Patients With Active Ankylosing Spondylitis,"A Randomized, Double-blind, Placebo-controlled, Multicenter Study of Secukinumab to Demonstrate the 16 Week Efficacy and to Assess the Long Term Safety, Tolerability and Efficacy up to 2 Years in Patients With Active Ankylosing Spondylitis",371
NCT01368081,Phase 3,3,Empagliflozin (BI 10773) Comprehensive add-on Study in Japanese Subjects With Type 2 Diabetes Mellitus,"A 52-week, Randomised, Multi-centre, Parallel Group Study to Investigate the Safety and Efficacy of BI 10773 (10 mg or 25 mg Administered Orally Once Daily) as add-on Therapy to an Oral Antidiabetic Drug (Sulfonylurea, Biguanide, Thiazolidinedione, Alpha Glucosidase Inhibitor, DPP-IV Inhibitor, or Glinide) in Patients With Type 2 Diabetes Mellitus With Insufficient Glycaemic Control",1162
NCT01371994,Phase 4,2,A Study to Assess Efficacy and Safety With Solifenacin Succinate to Improve Urinary Continence After Robotic Assisted Radical Prostatectomy,"A Randomized, Double-Blind, Parallel, Placebo-Controlled, Phase 4, Multicenter Study to Assess Efficacy and Safety of VESIcare® (Solifenacin Succinate) to Improve Urinary Continence of Subjects After Robotic Assisted Radical Prostatectomy",640
NCT01396395,Phase 4,2,Research on Nicorandil Treatment of Patients Diagnosed as CHD (Coronary Heart Disease) With Stable Angina,"A Prospective, Multi-center, Random, Open-label Research on Nicorandil Treatment of Patients Diagnosed as CHD (Coronary Heart Disease) With Stable Angina",402
NCT01422434,Phase 3,3,LEO 90105 Ointment in Japanese Subjects With Psoriasis,Efficacy and Safety of LEO 90105 Ointment (Calcipotriol Hydrate Plus Betamethasone Dipropionate) in Japanese Subjects With Psoriasis Vulgaris,676
NCT01437995,Phase 4,3,Long-acting Beta Agonist Step Down Study,Long-acting Beta Agonist Step Down Study,459
NCT01455129,Phase 4,2,Tiotropium In Early Chronic Obstructive Pulmonary Disease Patients in China,"Early Intervention With Tiotropium （Spiriva） in Chinese Patients With Chronic Obstructive Pulmonary Disease (COPD): a Randomized, Double-blind, Placebo-controlled, Parallel, Multicentre Trial",841
